R,Z
3.55599,-0.01685
3.56604,-0.03434
3.58266,-0.05311
3.60568,-0.07377
3.63483,-0.09694
3.66981,-0.12318
3.71025,-0.15302
3.75571,-0.18696
3.80574,-0.22543
3.85984,-0.26879
3.91748,-0.31735
3.97811,-0.3713
4.04119,-0.43074
4.10616,-0.49564
4.17248,-0.56585
4.23963,-0.64106
4.30708,-0.7208
4.37437,-0.80443
4.44106,-0.89115
4.50672,-0.97996
4.57099,-1.06969
4.63355,-1.15904
4.6941,-1.24657
4.75241,-1.33073
4.80829,-1.40994
4.86156,-1.4826
4.91211,-1.54717
4.95987,-1.60221
5.00479,-1.64646
5.04686,-1.67886
5.08609,-1.69862
5.12252,-1.70526
5.15622,-1.69862
5.18727,-1.67886
5.21577,-1.64646
5.24183,-1.60221
5.26557,-1.54717
5.28712,-1.4826
5.3066,-1.40994
5.32416,-1.33073
5.33993,-1.24657
5.35404,-1.15904
5.36662,-1.06969
5.3778,-0.97996
5.38771,-0.89115
5.39645,-0.80443
5.40414,-0.7208
5.41089,-0.64106
5.41678,-0.56585
5.4219,-0.49564
5.42635,-0.43074
5.43019,-0.3713
5.43349,-0.31735
5.43632,-0.26879
5.43872,-0.22543
5.44074,-0.18696
5.44244,-0.15302
5.44383,-0.12318
5.44497,-0.09694
5.44586,-0.07377
5.44653,-0.05311
5.447,-0.03434
5.44728,-0.01685
5.44737,-0.0
5.44728,-0.01658
5.447,-0.03219
5.44653,-0.04588
5.44586,-0.05671
5.44497,-0.06376
5.44383,-0.06618
5.44244,-0.06312
5.44074,-0.05382
5.43872,-0.03755
5.43632,-0.01366
5.43349,0.01843
5.43019,0.0592
5.42635,0.10901
5.4219,0.16812
5.41678,0.23661
5.41089,0.31434
5.40414,0.401
5.39645,0.49595
5.38771,0.59832
5.3778,0.70687
5.36662,0.82006
5.35404,0.93601
5.33993,1.05252
5.32416,1.16715
5.3066,1.27724
5.28712,1.38004
5.26557,1.4728
5.24183,1.55289
5.21577,1.61793
5.18727,1.66592
5.15622,1.69535
5.12252,1.70526
5.08609,1.69535
5.04686,1.66592
5.00479,1.61793
4.95987,1.55289
4.91211,1.4728
4.86156,1.38004
4.80829,1.27724
4.75241,1.16715
4.6941,1.05252
4.63355,0.93601
4.57099,0.82006
4.50672,0.70687
4.44106,0.59832
4.37437,0.49595
4.30708,0.401
4.23963,0.31434
4.17248,0.23661
4.10616,0.16812
4.04119,0.10901
3.97811,0.0592
3.91748,0.01843
3.85984,-0.01366
3.80574,-0.03755
3.75571,-0.05382
3.71025,-0.06312
3.66981,-0.06618
3.63483,-0.06376
3.60568,-0.05671
3.58266,-0.04588
3.56604,-0.03219
3.55599,-0.01658
